epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7754.74,1.03904,0.58199,1.03609,0.92104,0.84806,0.93375,0.63099,1.28911,0.66351,1.09001,0.00406,0.00406,0.00406
62,8081.26,1.03068,0.5781,1.03313,0.91724,0.85503,0.93337,0.62952,1.29134,0.6693,1.08882,0.003961,0.003961,0.003961
63,8386.64,1.02948,0.57288,1.02917,0.91334,0.85039,0.93026,0.62841,1.29861,0.67358,1.09094,0.003862,0.003862,0.003862
64,8707.72,1.02051,0.56558,1.02937,0.91269,0.85542,0.93399,0.62861,1.29989,0.66799,1.09013,0.003763,0.003763,0.003763
65,310.751,1.02127,0.56637,1.02401,0.92641,0.84514,0.93434,0.63201,1.292,0.66333,1.08634,0.003664,0.003664,0.003664
66,611.503,1.01889,0.56005,1.02738,0.91797,0.8535,0.93672,0.63239,1.29672,0.65546,1.09148,0.003565,0.003565,0.003565
67,923.951,1.02007,0.55952,1.02567,0.90903,0.8619,0.93555,0.63272,1.29206,0.65602,1.08915,0.003466,0.003466,0.003466
68,1243.9,1.01182,0.55374,1.02509,0.91167,0.85925,0.93547,0.63256,1.29179,0.6547,1.08812,0.003367,0.003367,0.003367
69,311.33,0.95764,0.52062,0.9979,0.91816,0.84908,0.93153,0.63221,1.30317,0.65524,1.09435,0.003268,0.003268,0.003268
70,634.823,0.95552,0.51714,1.00075,0.9114,0.85188,0.9312,0.62761,1.3153,0.65343,1.10189,0.003169,0.003169,0.003169
71,939.299,0.96623,0.52204,1.00207,0.90943,0.85866,0.9311,0.62786,1.31695,0.65669,1.10113,0.00307,0.00307,0.00307
72,1242.37,0.97865,0.53172,1.01024,0.91536,0.85667,0.9325,0.62887,1.30972,0.65215,1.09905,0.002971,0.002971,0.002971
73,1548.2,1.0037,0.54819,1.01662,0.91147,0.86095,0.93236,0.62999,1.30121,0.65394,1.09195,0.002872,0.002872,0.002872
74,1850.92,1.0018,0.54534,1.01611,0.91575,0.86072,0.93445,0.62959,1.29644,0.65053,1.08963,0.002773,0.002773,0.002773
75,2152.55,0.99742,0.54066,1.01367,0.91687,0.86066,0.93412,0.63184,1.29727,0.6491,1.08984,0.002674,0.002674,0.002674
76,2450.74,0.98942,0.53752,1.01092,0.92237,0.85424,0.93545,0.63243,1.29537,0.64304,1.08987,0.002575,0.002575,0.002575
77,2746.19,0.98675,0.53482,1.01306,0.91556,0.85885,0.9343,0.6323,1.29897,0.64268,1.09323,0.002476,0.002476,0.002476
78,3023.83,0.98887,0.53224,1.00996,0.92111,0.84927,0.93274,0.63126,1.30228,0.64938,1.09366,0.002377,0.002377,0.002377
79,3298.66,0.98834,0.53191,1.01127,0.91385,0.85571,0.9337,0.6324,1.29972,0.64697,1.09347,0.002278,0.002278,0.002278
80,3579.15,0.9829,0.52676,1.0095,0.91973,0.85023,0.93394,0.63188,1.30452,0.64749,1.0949,0.002179,0.002179,0.002179
81,282.543,0.92243,0.49105,0.98203,0.91562,0.85247,0.93227,0.63256,1.30684,0.64679,1.09738,0.00208,0.00208,0.00208
82,568.231,0.91556,0.48611,0.98217,0.92009,0.84923,0.93225,0.63181,1.31323,0.64482,1.1004,0.001981,0.001981,0.001981
83,852.844,0.91884,0.48652,0.98182,0.90881,0.85693,0.93129,0.63098,1.31807,0.64696,1.10298,0.001882,0.001882,0.001882
84,1143.07,0.92024,0.48861,0.98477,0.91415,0.85188,0.93005,0.62958,1.32218,0.64782,1.10544,0.001783,0.001783,0.001783
85,1430.06,0.93716,0.49821,0.98963,0.91082,0.85424,0.9305,0.62827,1.32201,0.64645,1.10489,0.001684,0.001684,0.001684
86,1705.72,0.93466,0.49265,0.98857,0.92067,0.85094,0.93236,0.6288,1.32252,0.64444,1.10436,0.001585,0.001585,0.001585
87,1997.51,0.93232,0.49275,0.98615,0.92071,0.85481,0.93359,0.6303,1.3177,0.64278,1.10184,0.001486,0.001486,0.001486
88,2294.54,0.92598,0.48836,0.98355,0.92155,0.85094,0.93271,0.62998,1.31831,0.64189,1.1017,0.001387,0.001387,0.001387
89,2606.01,0.9264,0.48884,0.98741,0.92323,0.84638,0.93218,0.63045,1.31876,0.64305,1.10223,0.001288,0.001288,0.001288
90,2909.3,0.93029,0.48886,0.98478,0.92582,0.84162,0.93133,0.62947,1.32065,0.64415,1.10296,0.001189,0.001189,0.001189
91,3216.6,0.9591,0.47309,0.98212,0.92297,0.84325,0.93138,0.63014,1.31388,0.64238,1.09971,0.00109,0.00109,0.00109
